timestamp,matrix_size,mac_units,frequency_mhz,compute_time_ms,total_time_ms,power_consumption_w,gflops,efficiency_gflops_w,workload_priority,auto_reconfigure,reconfig_metadata
1756156617.0809011,16,48,1000.0,1.3653333333333333,0.0006250047590583563,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.0809019,16,48,1000.0,1.3653333333333333,0.0006659975042566657,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.0809028,16,48,1000.0,1.3653333333333333,0.0005829933797940612,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.080904,16,48,1000.0,1.3653333333333333,0.0005839974619448185,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.080907,16,48,1000.0,1.3653333333333333,0.0006659975042566657,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.080908,16,48,1000.0,1.3653333333333333,0.0005840120138600469,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.080909,16,48,1000.0,1.3653333333333333,0.0006250047590583563,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.08091,16,48,1000.0,1.3653333333333333,0.0006249902071431279,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.0809112,16,48,1000.0,1.3653333333333333,0.0005830079317092896,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.0809128,16,48,1000.0,1.3653333333333333,0.0006659975042566657,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.080916,16,48,1000.0,1.3653333333333333,0.0024999899324029684,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.080917,16,48,1000.0,1.3653333333333333,0.0005839974619448185,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.080918,16,48,1000.0,1.3653333333333333,0.0006250047590583563,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.080919,16,48,1000.0,1.3653333333333333,0.0005829933797940612,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.0813901,32,128,1000.0,8.192,0.4667920002248138,226.27416997969522,0.008,3.535533905932738e-05,speed,True,"{'timestamp': 1756156617.0813818, 'old_mac_units': 48, 'new_mac_units': 128, 'old_frequency': 1000.0, 'new_frequency': 1000.0, 'reconfig_time_ms': 0.4578340012812987, 'mac_change': 80, 'freq_change': 0.0}"
1756156617.081392,32,128,1000.0,8.192,0.00100000761449337,226.27416997969522,0.008,3.535533905932738e-05,speed,True,
1756156617.081393,32,128,1000.0,8.192,0.000667001586407423,226.27416997969522,0.008,3.535533905932738e-05,speed,True,
1756156617.081394,32,128,1000.0,8.192,0.0006660120561718941,226.27416997969522,0.008,3.535533905932738e-05,speed,True,
1756156617.081395,32,128,1000.0,8.192,0.0006249902071431279,226.27416997969522,0.008,3.535533905932738e-05,speed,True,
1756156617.081398,32,128,1000.0,8.192,0.000667001586407423,226.27416997969522,0.008,3.535533905932738e-05,speed,True,
1756156617.081399,32,128,1000.0,8.192,0.0006250047590583563,226.27416997969522,0.008,3.535533905932738e-05,speed,True,
1756156617.081402,32,128,1000.0,8.192,0.0006250047590583563,226.27416997969522,0.008,3.535533905932738e-05,speed,True,
1756156617.0814028,32,128,1000.0,8.192,0.0007920025382190943,226.27416997969522,0.008,3.535533905932738e-05,speed,True,
1756156617.081404,32,128,1000.0,8.192,0.000667001586407423,226.27416997969522,0.008,3.535533905932738e-05,speed,True,
1756156617.082047,64,256,1000.0,65.536,0.6376249948516488,640.0,0.008,1.25e-05,speed,True,"{'timestamp': 1756156617.082039, 'old_mac_units': 128, 'new_mac_units': 256, 'old_frequency': 1000.0, 'new_frequency': 1000.0, 'reconfig_time_ms': 0.6292909965850413, 'mac_change': 128, 'freq_change': 0.0}"
1756156617.082048,64,256,1000.0,65.536,0.000667001586407423,640.0,0.008,1.25e-05,speed,True,
1756156617.0820491,64,256,1000.0,65.536,0.0007079943316057324,640.0,0.008,1.25e-05,speed,True,
1756156617.08205,64,256,1000.0,65.536,0.0005829933797940612,640.0,0.008,1.25e-05,speed,True,
1756156617.082051,64,256,1000.0,65.536,0.0006249902071431279,640.0,0.008,1.25e-05,speed,True,
